gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
TSPAN6,5.60873674177008,-0.0350884085089845,0.163039238907278,0.369026676616482,0.80626687853558
DPM1,66.0952307304583,0.00962770865641811,0.0695447805473011,0.738795130623106,0.944578679307229
SCYL3,27.1966289982859,-0.00295128790153994,0.0783217747616479,0.921364367931227,0.988744666344289
C1orf112,38.7396203049926,-0.00142644664095817,0.0748529738413466,0.961443422347285,0.9931923164456
FUCA2,14.0135207281289,-0.0300176083012574,0.122321420164976,0.389807354583093,0.817942077883246
GCLC,51.4946455705594,0.116780288684442,0.161221209353327,0.037641133740441,0.33477619960927
NFYA,15.3375383070695,-0.0254277942016972,0.0989860485437868,0.441785845098045,0.846438523925466
NIPAL3,27.0367149074427,-0.0711614686862311,0.195783607314477,0.140829792613075,0.586708215216431
LAS1L,45.0833279220655,-0.0119282939953229,0.0950359635873173,0.702362236877534,0.936414051737703
ENPP4,13.3003433884049,-0.105826511781937,0.269434828840786,0.0873341203851411,0.486587408651413
ANKIB1,352.792309927344,-0.00171043848356263,0.0520005836537652,0.942868840489983,0.990332836517295
CYP51A1,45.8559426512077,0.5958971725264,0.459190558951722,0.0018247425680742,0.0592917707078852
KRIT1,169.5852680714,-0.0873919394153442,0.102672029402588,0.0546457999328606,0.391867907413277
RAD52,67.8440893278979,0.00501978530375948,0.0710473939265912,0.8626424004845,0.976027229975382
BAD,6.36293271711043,-0.160897373736194,0.304340292089039,0.0380281878831056,0.336333946720265
LAP3,41.0631629179721,-0.00156886573344555,0.0943044163723518,0.959193773204786,0.992763105497767
CD99,51.4783197719512,-0.0507767080737116,0.165410322119306,0.224261796389738,0.693658912899051
HS3ST1,11.9550698091735,-0.0770393444594352,0.22191413563002,0.136481065880413,0.580661283325201
HECW1,188.297072120075,0.0275417638146458,0.106986328322827,0.41391304929034,0.832837558206116
MAD1L1,166.874718545563,-0.00149129556466858,0.0794582755227758,0.960321522802395,0.992886150386651
LASP1,28.2875381085967,0.00600677837342952,0.092044910773222,0.844972463127846,0.971797748577957
SNX11,6.55844791000848,-0.0130101952477927,0.103353427866423,0.680812991012241,0.929151799305935
M6PR,22.3110845454921,-0.0453322049062141,0.11374509560521,0.225715279689704,0.694219768183949
KLHL13,124.019342823821,-0.0735322989175211,0.140531145490489,0.102357375222768,0.518594496032929
ICA1,73.7076961692427,-0.0473788530946506,0.157818642652738,0.242451785254013,0.709741435783578
DBNDD1,9.19191683074875,-0.153598195139316,0.337700049386489,0.0499138720834512,0.380088514740506
ALS2,77.0709316689865,-0.0329906440426877,0.0815811426371655,0.315020471382958,0.765870669536727
CFLAR,109.867092198851,-0.0274354453847251,0.09829802908034,0.410813485600879,0.830166096533053
NDUFAF7,31.6385653125687,-0.00210155523209981,0.0681285107709977,0.941112284890944,0.990133234625952
RBM5,193.212212361768,0.00565788830480226,0.0748816154491928,0.848354566278021,0.972537646971361
MTMR7,14.2125320918575,0.0542110347652296,0.184111360821065,0.218165002696938,0.686735578698107
SLC7A2,7.7341636040582,-0.00421023076106762,0.114419020055005,0.894709869029984,0.983651956962339
ARF5,6.19711158139015,0.0260082762663357,0.12670300294387,0.452365809866067,0.85172986761187
SARM1,81.8590870797059,-0.0504749642616153,0.0977899268444772,0.179735442329929,0.636583914677334
POLDIP2,10.4265511011972,-0.0448979689658446,0.117113407914201,0.230831896184914,0.698375350812268
PLXND1,18.2700436418784,-0.0879155621249612,0.215079412855628,0.100200318440653,0.515401895368267
AK2,50.2160294191709,-0.077558747303128,0.141048911770348,0.0916196852091888,0.495945835511591
FKBP4,8.97642513540933,0.0325852458014914,0.13985997623304,0.373235129077928,0.808597547180704
KDM1A,116.211550831857,-0.0232206372476459,0.0694461347881473,0.430487868382927,0.841036994178311
RBM6,478.966858595845,-0.0253539827944604,0.0633180804882647,0.358809937419398,0.799110417525971
CAMKK1,10.6816093742317,-0.0782438983457155,0.231018401765241,0.137965871904588,0.582468593005638
RECQL,31.3660282107763,-0.0738856281550861,0.127274052690701,0.0964655802832232,0.505465466954375
VPS50,153.518369752237,-0.00214540239949178,0.0613877748038997,0.936378029638515,0.990133234625952
ARHGAP33,21.7182396783721,0.069930116871894,0.150813831427121,0.118191337376901,0.551353743768182
NDUFAB1,14.3559149601846,0.00324998082036797,0.0970303660599754,0.915928122750642,0.988329055564298
SLC25A13,179.237705716452,0.00231797105254189,0.0624195130271001,0.931965307111433,0.990133234625952
ST7,286.819211814188,-0.0393316900922533,0.108316055822971,0.273986399464625,0.731973469157944
CDC27,147.340273279573,-0.0020941531957611,0.0729191971550154,0.9429367361018,0.990332836517295
DVL2,12.7038452592074,-0.0103318743430908,0.0976370972661007,0.740309642045441,0.944578679307229
UPF1,24.267732439206,-0.087495890931526,0.167793177368383,0.0791134404233745,0.464028122003333
SKAP2,48.6883136219575,-0.161217407732505,0.294455735103976,0.0357768712411954,0.326208886830367
SLC25A5,6.52669450324457,0.0909538010777619,0.22035973028544,0.0956318888392005,0.504455058153108
MCUB,41.3851205491717,-0.402841867004455,0.470065627486586,0.00686665888072854,0.133006849725259
POLR2J,9.09169413947673,0.0433265072668544,0.149217432602486,0.267988164896157,0.728116496058221
DHX33,34.1352866476329,-0.0159590791851142,0.0937773111197831,0.613259468963903,0.90945006534015
THSD7A,734.010263002123,-0.00762006383947237,0.107099784865864,0.808441778176969,0.960675611530412
LIG3,34.0018258170666,0.00868056219811744,0.0876110868818124,0.777404178134288,0.951390856320407
RPAP3,52.1056280056176,0.00315847190363957,0.0898296021812851,0.91764738639464,0.988329055564298
REXO5,13.8170324562822,0.00751771898502973,0.100183750954299,0.808883477123808,0.960686131678601
CIAPIN1,26.299099818992,0.0484181416013711,0.117123188864369,0.205262919576505,0.670453163628141
SPPL2B,66.6790083625147,0.217163922082087,0.211444290309735,0.00776263918960961,0.144461776738868
PRKAR2B,27.9699276194253,0.0233540944305872,0.11877946955193,0.488167009729527,0.863952471975032
MSL3,14.3872440362652,0.0279555710418414,0.121798586063259,0.418405938688974,0.835001199214513
CREBBP,225.9392602436,0.0290119523617006,0.0701355637066527,0.332538907043069,0.780006185483959
TSPOAP1,28.0522947488161,0.0527911630984468,0.151223157015658,0.198686215875502,0.661458530125038
GCFC2,88.3386508149499,-0.0160231918556919,0.0676611897300151,0.576633441446535,0.897085112617614
CROT,55.712041778481,0.00484532965127022,0.0757813164246956,0.870299458964586,0.976683874296648
KMT2E,477.362044765608,-0.0111720090148068,0.0561194491730885,0.657579789060897,0.925831572433085
RHBDD2,17.7049470173572,-0.0326594459092341,0.116034184785313,0.350860283340253,0.793562415114926
SOX8,28.9922679229391,0.595585285825529,0.618344374482416,0.00376102968107223,0.0922182942250634
IBTK,101.582089641533,-0.00795765246529918,0.0692820813306089,0.782105371343424,0.952521888056864
ZNF195,69.5475225116539,0.0331839208808566,0.0895189048014562,0.326403218400982,0.774489433294235
MYCBP2,340.935024419561,0.0625033505519369,0.103443561022032,0.123046255948853,0.56032317458236
FBXL3,35.9504440036835,-0.0089797805421109,0.0778650618351698,0.765159693668376,0.949875811088192
PDK2,8.09470932278971,-0.0187994543129257,0.109316512621296,0.563462962297099,0.894441058057589
ITGA3,60.471542450067,-0.29253056797516,0.465949126664656,0.0163489368349719,0.216327291017136
ZFX,83.9602054207957,-0.0367469465958135,0.0964810143810257,0.29257672392471,0.749004802314185
LAMP2,55.2735520621261,0.0367804870090361,0.103477623121199,0.296807999751984,0.751420590588321
ITGA2B,11.1476032086687,0.0147215346759906,0.0983362042810659,0.641291258935227,0.918108401014698
GDE1,11.059007490892,0.0233730600164222,0.100018301075846,0.475800374545434,0.861030051675682
REX1BD,11.865288184521,-0.0444919347708697,0.119584073373373,0.235383830253188,0.702577078599881
OSBPL7,14.2557647029593,-0.00662750481309553,0.0988788528988411,0.830618045530444,0.966700667662594
MAP3K14,88.5864021605072,-0.235440488481971,0.381521608894146,0.0206007033561377,0.245042096468344
ABCC8,23.4847309575638,0.457090061135975,0.574205409565535,0.00697926724303697,0.134104830519252
TMEM132A,15.8064028279265,0.00284132742399461,0.110289528907942,0.928058501846048,0.989207187098501
AP2B1,141.813673163326,-0.0313427394133811,0.0723233377085524,0.307170881631374,0.760665632298745
ZNF263,17.1313507354004,-0.0295811895616809,0.119910154398371,0.393786336498339,0.820969674257149
SPATA20,6.60354239151442,-0.0862893397276796,0.207050618498816,0.10004103769535,0.515245722494521
CACNA1G,24.8666923203166,0.0210038450825527,0.110370232352424,0.522922081713864,0.879104488595525
TNFRSF12A,11.410752683781,-0.0815683740878529,0.2963476071698,0.150000230859412,0.598304314040037
